FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
H,1.444444444,1.592592593,L,W,L,L,L,D,-0.07407407407,0.2592592593,-0.1111111111,1
NH,0.9642857143,1.357142857,D,D,D,W,W,W,-0.1071428571,-0.07142857143,-0.1428571429,-3
NH,1.321428571,0.8214285714,L,L,L,L,D,D,-0.2142857143,-0.5714285714,0.1071428571,-7
NH,1.285714286,1.428571429,W,D,D,D,D,W,-0.1071428571,0.1428571429,-0.1428571429,7
H,2.25,1.785714286,D,W,W,W,W,W,1.5,0.7142857143,0.07142857143,-1
H,1.785714286,1.25,W,W,W,W,D,L,0.7142857143,0.1071428571,0.1785714286,-7
NH,0.7857142857,1.392857143,D,L,L,D,D,L,-0.7857142857,0.5357142857,-0.25,9
H,1,1.285714286,D,W,L,W,D,D,-0.5714285714,-0.1071428571,-0.07142857143,6
NH,1.107142857,1.321428571,W,D,L,L,L,L,-0.3571428571,-0.2142857143,0.07142857143,2
NH,1.428571429,2.25,D,D,W,D,W,W,0.1428571429,1.5,-0.07142857143,2
H,1.5,1.607142857,W,L,W,L,D,W,0,0.6071428571,0.03571428571,4
NH,0.8965517241,1.413793103,W,L,D,W,W,W,-0.5172413793,-0.03448275862,-0.2413793103,3
NH,0.9310344828,1.413793103,L,D,D,D,W,D,-0.1379310345,-0.06896551724,-0.1724137931,-6
H,1.586206897,0.5517241379,W,W,L,L,L,L,0.275862069,-1.206896552,0.2068965517,1
NH,1.517241379,1.275862069,L,D,L,W,D,L,0.1724137931,0.03448275862,-0.2068965517,1
NH,1.206896552,1.448275862,L,W,D,W,D,D,0,0.5862068966,-0.1034482759,4
H,1.275862069,1.586206897,W,D,L,W,W,L,0.03448275862,0.275862069,0.06896551724,-12
NH,0.5517241379,0.8965517241,L,L,L,W,L,D,-1.206896552,-0.5172413793,-0.2068965517,-1
NH,1.413793103,1.482758621,D,W,D,W,D,D,-0.06896551724,0.1724137931,-0.06896551724,15
NH,1.448275862,1.517241379,W,D,D,L,D,L,0.5862068966,0.1724137931,0.2068965517,-2
H,2.275862069,1.551724138,W,D,W,W,W,L,1.620689655,0.06896551724,0.1379310345,-7
NH,1.266666667,0.9333333333,L,D,L,D,L,D,-0.2333333333,-0.1333333333,-0.1,-1
H,1.466666667,1.066666667,W,W,W,D,L,W,0,-0.4,0.3333333333,2
H,1.2,0.8,L,L,W,D,D,D,-0.1666666667,-0.7333333333,0.06666666667,-4
NH,1.166666667,1.533333333,L,L,W,L,W,W,-0.06666666667,0.2333333333,-0.06666666667,-9
NH,1.266666667,1.766666667,D,W,D,W,L,W,0.03333333333,0.6,-0.2,4
NH,1.633333333,1.133333333,W,D,L,W,W,D,0.6333333333,-0.4666666667,-0.06666666667,-12
